No.,0_Steering_Wheel,1_Throttle,3_Steering_Wheel,4_Throttle,6_Steering_Wheel,105_Steering_Wheel,144_Steering_Wheel,147_Steering_Wheel,148_Throttle,P_vector_1,P_vector_2,P_vector_3,P_vector_4,Emotion_Real
485,0.076914918,0.728500962,0.095374517,0.728500962,0.095374517,0.329197201,0.329197201,0.329197201,0.728500962,0.9999995,2.24E-07,2.93E-07,4.44E-09,0
499,0.043072349,0.515878677,0.043072349,0.515878677,0.043072349,0.043072349,0.043072349,0.043072349,0.449417353,0.999997,7.03E-07,2.29E-06,1.66E-09,0
500,33.05695134,0.65834552,33.05695134,0.65834552,33.05695134,32.39785673,32.02108843,32.02108843,0.643682837,0.99999833,1.06E-06,6.35E-07,5.81E-09,0
508,0.15075334,0.284833223,0.15075334,0.284833223,0.15075334,0.15075334,0.15075334,0.15075334,0.306354433,0.9999995,3.25E-07,7.85E-08,2.11E-10,0
528,-0.07999152,0.895872116,-0.07999152,0.895872116,-0.07999152,-0.11383411,-0.11383411,-0.11383411,0.93765074,0.99999774,2.25E-06,9.07E-09,8.67E-09,0
529,0.501490161,0.545390606,0.501490161,0.545390606,0.501490161,0.083068117,0.083068117,0.083068117,0.541229308,0.99999475,5.29E-06,5.90E-09,1.82E-09,0
531,0.15075334,0.306354433,0.15075334,0.306354433,0.15075334,0.15075334,0.15075334,0.15075334,0.31165567,1,2.92E-13,5.22E-09,1.79E-10,0
532,-2.572709743,0.601859391,-2.572709743,0.601859391,-2.572709743,-2.4249234,-1.861596516,-1.861596516,0.601859391,1,1.57E-10,3.53E-09,2.90E-10,0
534,0.319967297,0.643682837,0.319967297,0.643682837,0.319967297,0.319967297,0.319967297,0.319967297,0.625036359,1,6.27E-11,6.93E-09,5.52E-10,0
549,6.091376157,0.679931283,6.091376157,0.679931283,5.797869738,-43.99449892,-43.99449892,-43.99449892,0.53285265,1,4.32E-12,5.81E-09,5.46E-11,0
552,-3.086992623,0.694058895,-3.086992623,0.694058895,-3.086992623,-2.221737364,-1.873908089,-1.873908089,0.694058895,1,1.94E-12,2.55E-09,2.07E-11,0
553,23.51567417,0.718296468,23.51567417,0.718296468,23.37800032,13.3911425,-0.356886954,-0.356886954,0.138386071,1,4.29E-15,8.35E-12,5.54E-13,0
557,-0.615328475,0,-0.615328475,0,-0.615328475,-0.615328475,-0.615328475,-0.615328475,0,1,5.72E-13,3.30E-09,1.13E-10,0
558,-10.06682159,0,-10.06682159,0,-10.06682159,-1.307642013,-2.458789959,-2.458789959,0.093078084,1,4.18E-12,3.36E-09,1.57E-10,0
562,-0.818396337,0.621248782,-0.818396337,0.621248782,-0.86147225,-1.218403844,-1.218403844,-1.218403844,0.545390606,1,2.47E-14,1.03E-12,1.06E-17,0
563,4.720589614,0.679931283,4.720589614,0.679931283,4.720589614,4.992090545,6.542694008,6.542694008,0.74194181,1,4.75E-13,1.74E-12,1.48E-16,0
572,-2.311013346,0.494233727,-2.311013346,0.494233727,-2.311013346,-2.301777617,-2.301777617,-2.301777617,0.53285265,1,4.58E-14,7.66E-13,1.39E-17,0
573,-3.413522124,0.731878757,-3.999033399,0.731878757,-3.999033399,-7.186218539,-7.189314528,-7.214079023,0.617401898,1,2.64E-12,4.48E-14,3.90E-16,0
575,-1.08608925,0,-1.08608925,0,-1.08608925,-1.473816593,-0.039995752,-0.039995752,0,0.9999987,1.33E-06,2.56E-13,3.35E-11,0
579,-1.747718384,0.672789395,-1.747718384,0.672789395,-1.784651228,-3.136274768,-3.160916693,-3.160916693,0.672789395,1,4.76E-09,1.67E-13,2.00E-14,0
590,-6.400464944,0.625036359,-6.400464944,0.625036359,-6.400464944,-6.180997313,-5.350112205,-5.350112205,0.70104605,1,1.56E-08,5.60E-11,4.46E-13,0
592,1.821584754,0.463076323,1.821584754,0.463076323,1.821584754,0.849164773,0.596868071,0.596868071,0.48099345,1,3.10E-08,1.53E-08,6.84E-11,0
600,-0.043072349,0.458544701,-0.043072349,0.458544701,-0.043072349,-0.043072349,-0.043072349,-0.043072349,0.53285265,0.99999976,7.67E-12,2.01E-08,2.58E-07,0
611,-2.126309352,0.694058895,-2.126309352,0.694058895,-2.126309352,-0.550717337,-0.596868071,-0.596868071,0.694058895,1,5.93E-12,4.04E-13,2.86E-15,0
615,1.036857123,0.119227514,1.036857123,0.163354725,1.036857123,1.036857123,1.036857123,1.036857123,0.187718421,1,1.73E-09,2.72E-10,7.12E-12,0
618,-0.375346803,0.669198632,-0.375346803,0.669198632,-0.375346803,-0.221515357,-0.221515357,-0.221515357,0.628794491,1,4.10E-11,3.21E-12,1.12E-13,0
621,-0.729168666,0.316928059,-0.729168666,0.316928059,-0.729168666,-0.978394731,-0.978394731,-0.978394731,0.382976413,1,5.61E-14,1.39E-11,1.96E-14,0
622,-6.094466683,0.07299161,-6.267539551,0.07299161,-6.267539551,-5.930704997,-5.930704997,-5.930704997,0.295663983,1,1.67E-13,7.57E-13,2.26E-15,0
624,-0.79070477,0.024407953,-0.79070477,0.024407953,-0.79070477,-0.13844693,0.061531932,0.061531932,0,1,6.28E-14,7.88E-12,2.22E-13,0
625,-0.086144714,0,-0.086144714,0,-0.086144714,-0.076914918,-0.076914918,-0.076914918,0,1,1.03E-12,1.63E-12,1.83E-13,0
629,-3.456654969,0.53285265,-3.456654969,0.53285265,-3.456654969,-3.358067805,-2.825209505,-2.825209505,0.561859071,1,2.57E-09,2.93E-14,9.35E-14,0
634,1.123013729,0,1.123013729,0,1.123013729,1.123013729,1.123013729,1.123013729,0,1,5.29E-12,5.18E-15,5.74E-16,0
639,0.135370327,0.211461216,0.135370327,0.211461216,0.135370327,0.135370327,0.135370327,0.135370327,0.368129671,1,1.14E-10,2.76E-11,1.25E-10,0
640,-2.554235725,0.426215053,-2.554235725,0.458544701,-2.554235725,-3.213281853,-3.216362477,-3.216362477,0.524402857,1,1.65E-09,4.49E-11,1.78E-14,0
655,-2.538840966,0.537050068,-2.538840966,0.537050068,-2.544998801,-2.548077719,-2.548077719,-2.548077719,0.565932751,1,9.97E-16,6.85E-13,8.33E-18,0
657,-0.858395381,0.78117913,-0.858395381,0.78117913,-0.858395381,-1.840051603,-1.858518793,-1.858518793,0.774749041,1,7.31E-14,1.05E-11,3.29E-17,0
660,-0.006153192,0,-0.006153192,0,-0.006153192,-0.006153192,-0.006153192,-0.006153192,0.65834552,1,1.34E-13,2.87E-11,7.33E-16,0
661,-3.546006404,0.211461216,-3.546006404,0.257267594,-3.546006404,-3.546006404,-3.546006404,-3.546006404,0.234635413,1,1.53E-15,1.51E-13,2.90E-18,0
665,-2.501893782,0.875740469,-2.5049727,0.875740469,-2.5049727,-2.828289105,-2.828289105,-2.828289105,0.872830033,1,1.08E-14,1.89E-14,4.62E-18,0
684,0.030765961,0.228893682,0.030765961,0.228893682,0.030765961,0.064608529,-26.85128445,-26.85128445,0.017267888,1,4.19E-14,1.93E-12,5.61E-16,0
688,0.267664618,0.625036359,0.267664618,0.625036359,0.301507512,0.433803306,0.298430877,0.298430877,0.621248782,1,7.99E-15,8.84E-14,2.56E-17,0
703,0.092297914,0,0.092297914,0,0.092297914,0.092297914,0.092297914,0.092297914,0,1,9.41E-12,3.21E-13,1.03E-17,0
709,0.052302141,0.066202387,0.052302141,0.066202387,0.052302141,0.052302141,0.052302141,0.052302141,0.002827748,1,2.20E-11,2.50E-12,8.60E-15,0
710,-4.93963491,0.647369385,-4.93963491,0.647369385,-4.93963491,-5.594029885,-5.909078826,-6.369549442,0.694058895,1,4.90E-14,1.11E-14,1.61E-20,0
713,-0.836857382,0,-0.836857382,0,-0.836857382,-0.787627986,-0.741475802,-0.741475802,0,1,1.27E-14,9.97E-16,2.49E-21,0
718,0.455339982,0.316928059,0.455339982,0.316928059,0.455339982,1.58152733,1.929310684,1.944700493,0.48099345,1,5.55E-14,5.44E-14,6.69E-19,0
720,-2.483420617,0.290274143,-2.483420617,0.295663983,-2.483420617,-1.658466302,-1.673854403,-1.673854403,0.347972929,1,1.20E-15,2.08E-15,1.88E-19,0
721,-0.156906555,0,-0.156906555,0,-0.156906555,-0.239975035,-0.239975035,-0.239975035,0,1,2.22E-14,1.53E-15,1.94E-19,0
729,-2.923757406,0.74194181,-2.923757406,0.74194181,-2.926837348,-3.197880094,-2.828289105,-2.828289105,0.748592794,1,5.33E-15,6.40E-15,1.91E-20,0
730,0.092297914,0.617401898,0.092297914,0.617401898,0.092297914,0.15075334,0.310737394,0.310737394,0.617401898,1,2.43E-16,1.34E-15,2.13E-20,0
740,-0.01538298,0.74194181,-0.01538298,0.74194181,-0.01538298,0.199979065,0.172289578,0.172289578,0.138386071,1,6.00E-14,6.78E-16,8.79E-21,0
744,-2.889880775,0.840223789,-2.889880775,0.840223789,-2.889880775,-3.41660309,-2.264835555,-2.264835555,0.8462345,1,6.51E-10,3.39E-16,3.59E-16,0
747,0.092297914,0,0.092297914,0,0.092297914,0.092297914,0.092297914,0.092297914,0,0.99999857,3.15E-08,1.45E-06,1.12E-09,0
748,-4.58487073,0.711433172,-4.64964306,0.711433172,-4.64964306,-5.115528583,-5.115528583,-5.115528583,0.711433172,1,6.82E-09,8.45E-09,5.41E-11,0
760,-0.759936676,0.651041925,-0.759936676,0.651041925,-0.596868071,0.870702857,0.815319468,0.815319468,0,0.9999999,6.76E-08,5.06E-08,4.24E-10,0
